MAC005490,0.178,Affluent,Std
MAC005490,0.146,Affluent,Std
MAC005490,0.163,Affluent,Std
MAC003731,0.001,Affluent,Std
MAC003731,0.143,Affluent,Std
MAC004673,0.07,Affluent,Std
MAC004447,0.319,Affluent,Std
MAC004415,0.084,Affluent,Std
MAC004664,0.151,Affluent,Std
MAC004336,0.1,Affluent,Std
MAC003776,0.132,Affluent,Std
MAC004712,0.162,Affluent,Std
MAC003776,0.111,Affluent,Std
MAC004447,0.063,Affluent,Std
MAC004447,0.16,Affluent,Std
MAC004447,0.078,Affluent,Std
MAC004585,0.114,Affluent,Std
MAC004369,0.12,Affluent,Std
MAC004585,0.118,Affluent,Std
MAC004029,0.12,Affluent,Std
MAC004585,0.133,Affluent,Std
MAC004369,0.147,Affluent,Std
MAC003283,0.638,Affluent,Std
MAC000598,0.116,Affluent,ToU
MAC000598,0.236,Affluent,ToU
MAC004415,0.405,Affluent,Std
MAC004040,0.05,Affluent,Std
MAC000598,0.127,Affluent,ToU
MAC000598,0.14,Affluent,ToU
MAC000598,0.187,Affluent,ToU
MAC004040,0.577,Affluent,Std
MAC004415,0.105,Affluent,Std
MAC000598,0.087,Affluent,ToU
MAC003787,0.058,Affluent,Std
MAC003313,0.14,Affluent,Std
MAC003787,0.096,Affluent,Std
MAC004750,0.217,Affluent,Std
MAC004455,0.125,Affluent,Std
MAC003313,0.205,Affluent,Std
MAC004925,0.563,Affluent,Std
MAC004750,0.417,Affluent,Std
MAC003313,0.058,Affluent,Std
MAC004455,0.466,Affluent,Std
MAC005028,0.469,Affluent,Std
MAC004664,0.103,Affluent,Std
MAC000017,0.029,Affluent,ToU
MAC004406,0.199,Affluent,Std
MAC004406,0.039,Affluent,Std
MAC000017,0.086,Affluent,ToU
MAC000017,0.036,Affluent,ToU
MAC000017,0.117,Affluent,ToU
MAC004406,0.151,Affluent,Std
MAC004406,0.126,Affluent,Std
MAC003260,0.292,Affluent,Std
MAC003642,0.529,Affluent,Std
MAC004664,0.205,Affluent,Std
MAC000017,0.085,Affluent,ToU
MAC003275,0.157,Affluent,Std
MAC004336,0.097,Affluent,Std
MAC003061,0.185,Affluent,ToU
MAC003061,0.343,Affluent,ToU
MAC004712,0.082,Affluent,Std
MAC003061,0.194,Affluent,ToU
MAC004750,0.165,Affluent,Std
MAC003313,0.102,Affluent,Std
MAC004455,0.615,Affluent,Std
MAC003313,0.064,Affluent,Std
MAC003787,0.09,Affluent,Std
MAC003313,0.225,Affluent,Std
MAC003584,0.092,Affluent,Std
