temp_max,weather_icon,cloud_cover,wind_speed,humidity,weather_date,temp_min,weather_summary
10.92,partly-cloudy-day,0.45,2.37,0.84,10/30/2012 0:00,5.57,Partly cloudy throughout the day.
14.29,fog,0.55,3.5,0.82,3/3/2012 0:00,7.06,Foggy in the morning.
18.26,partly-cloudy-day,0.14,2.09,0.53,3/26/2012 23:00,5.32,Partly cloudy until evening.
21.29,partly-cloudy-day,0.45,4.71,0.74,8/1/2012 23:00,15.61,Partly cloudy throughout the day.
11.46,wind,0.47,9.49,0.7,1/5/2012 0:00,7.34,Breezy until afternoon and partly cloudy throughout the day.
13.89,wind,0.56,7.61,0.77,4/25/2012 23:00,9.23,Breezy and partly cloudy throughout the day.
18.65,partly-cloudy-day,0.54,3.33,0.81,7/6/2012 23:00,13.42,Partly cloudy throughout the day.
11.53,partly-cloudy-day,0.29,2.18,0.84,10/12/2012 23:00,6.41,Partly cloudy until evening.
14.89,partly-cloudy-day,0.4,1.75,0.83,10/5/2012 23:00,7.61,Partly cloudy until afternoon.
1.58,fog,0.6,2.09,0.87,12/13/2012 0:00,-1.35,Foggy overnight.
15.88,wind,0.45,5.09,0.64,5/10/2012 23:00,9.37,Partly cloudy until evening and breezy in the morning.
0.79,fog,0.58,2.13,0.8,2/4/2012 0:00,-3.27,Foggy starting in the evening.
9.76,partly-cloudy-day,0.38,1.84,0.82,3/18/2012 0:00,3.98,Partly cloudy until evening.
12.35,partly-cloudy-day,0.59,7.17,0.75,1/21/2012 0:00,7.61,Partly cloudy throughout the day.
17.19,partly-cloudy-day,0.28,4.39,0.64,9/17/2012 23:00,10.97,Partly cloudy until evening.
8.39,fog,0.66,2.11,0.91,3/2/2012 0:00,5.69,Foggy throughout the day.
7.57,partly-cloudy-day,0.21,4.81,0.81,1/2/2012 0:00,4.69,Partly cloudy until evening.
11.94,wind,0.57,5.44,0.88,4/24/2012 23:00,6.55,Mostly cloudy throughout the day and breezy until afternoon.
27.12,partly-cloudy-day,0.14,1.39,0.62,9/7/2012 23:00,10.41,Partly cloudy until afternoon.
